Method	Old	New	Count	Trend	Avg	Err
dinsertion	random	reverse	2	Linear	10.85	0.03
dinsertion	random	revfwd	3	Linear	21.41	0.13
dinsertion	random	interleave	2	Quadratic	0.21	0.20
dinsertion	reverse	revfwd	23	Quadratic	0.23	0.08
dinsertion	forward	fwdrev	28	Quadratic	0.23	0.08
dinsertion	interleave	revfwd	11	Quadratic	0.23	0.07
dinsertion	revfwd	reverse	28	Quadratic	0.23	0.08
dinsertion	interleave	fwdrev	10	Quadratic	0.24	0.07
dinsertion	fwdrev	forward	26	Quadratic	0.24	0.08
dinsertion	interleave	forward	19	Quadratic	0.24	0.07
dinsertion	fwdrev	interleave	18	Quadratic	0.24	0.07
dinsertion	forward	interleave	15	Quadratic	0.24	0.07
dinsertion	fwdrev	reverse	35	Quadratic	0.24	0.11
dinsertion	revfwd	interleave	11	Quadratic	0.24	0.02
dinsertion	revfwd	forward	28	Quadratic	0.24	0.11
dinsertion	reverse	fwdrev	32	Quadratic	0.24	0.11
dinsertion	forward	revfwd	28	Quadratic	0.24	0.11
dinsertion	revfwd	fwdrev	83	Quadratic	0.24	0.11
dinsertion	fwdrev	revfwd	80	Quadratic	0.24	0.11
dinsertion	reverse	interleave	9	Quadratic	0.25	0.01
dinsertion	interleave	reverse	11	Quadratic	0.25	0.01
dinsertion	random	fwdrev	5	Quadratic	0.25	0.28
dinsertion	forward	reverse	27	Quadratic	0.48	0.09
dinsertion	reverse	forward	30	Quadratic	0.48	0.09
evenodd	random	fwdrev	5	Linear	0.89	0.17
evenodd	interleave	random	7	Linear	0.90	0.22
evenodd	forward	random	8	Linear	0.91	0.19
evenodd	random	revfwd	4	Linear	0.91	0.08
evenodd	revfwd	interleave	8	Linear	0.91	0.12
evenodd	random	interleave	2	Linear	0.91	0.08
evenodd	fwdrev	random	12	Linear	0.92	0.22
evenodd	random	reverse	2	Linear	0.93	0.11
evenodd	reverse	random	8	Linear	0.93	0.16
evenodd	revfwd	random	6	Linear	0.93	0.15
evenodd	fwdrev	interleave	8	Linear	0.93	0.08
evenodd	interleave	revfwd	15	Linear	0.95	0.08
evenodd	interleave	fwdrev	4	Linear	0.95	0.00
evenodd	interleave	forward	9	Linear	0.98	0.04
evenodd	reverse	revfwd	26	Linear	0.98	0.04
evenodd	fwdrev	forward	19	Linear	0.98	0.04
evenodd	revfwd	reverse	28	Linear	0.98	0.04
evenodd	forward	fwdrev	21	Linear	0.98	0.02
evenodd	forward	interleave	3	Linear	0.99	0.00
evenodd	forward	revfwd	21	Linear	1.00	0.00
evenodd	fwdrev	reverse	19	Linear	1.00	0.00
evenodd	fwdrev	revfwd	66	Linear	1.00	0.00
evenodd	interleave	reverse	7	Linear	1.00	0.00
evenodd	reverse	fwdrev	28	Linear	1.00	0.00
evenodd	reverse	interleave	6	Linear	1.00	0.00
evenodd	revfwd	forward	24	Linear	1.00	0.00
evenodd	revfwd	fwdrev	85	Linear	1.00	0.00
evenodd	reverse	forward	25	Linear	1.01	0.02
evenodd	forward	reverse	25	Linear	1.02	0.04
evenodd	random	forward	1	Unknown	0.78	0.00
insertion	reverse	revfwd	22	Quadratic	0.23	0.08
insertion	random	forward	6	Quadratic	0.23	0.36
