Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
1	720	random	fwdrev	revfwd	rightleft	129240	129240	0.00
2	240	evenodd	revfwd	fwdrev	rightleft	239	239	0.00
3	120	swap	fwdrev	revfwd	rightleft	560	544	0.03
4	40	merge	revfwd	fwdrev	rightleft	20	20	0.00
5	40	dinsertion	forward	reverse	zipper	720	720	0.00
6	40	dinsertion	reverse	fwdrev	zipper	360	360	0.00
7	20	evenodd	fwdrev	revfwd	zipper	19	19	0.00
8	20	random	revfwd	fwdrev	zipper	80	80	0.00
9	20	quick	fwdrev	forward	zipper	17	15	0.12
10	20	insertion	fwdrev	revfwd	rightleft	90	90	0.00
11	60	random	revfwd	fwdrev	rightleft	870	870	0.00
12	60	selection	fwdrev	revfwd	rightleft	870	870	0.00
13	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
14	360	quick	fwdrev	revfwd	rightleft	506	483	0.05
15	360	evenodd	revfwd	fwdrev	rightleft	359	359	0.00
16	360	random	forward	revfwd	zipper	32040	32040	0.00
17	360	selection	revfwd	reverse	zipper	32040	32040	0.00
18	360	selection	reverse	revfwd	zipper	32040	32040	0.00
19	360	quick	revfwd	reverse	zipper	588	592	0.01
20	180	insertion	reverse	forward	single	16110	16110	0.00
21	360	evenodd	fwdrev	revfwd	rightleft	359	359	0.00
22	360	dinsertion	revfwd	fwdrev	rightleft	32220	32220	0.00
23	180	swap	fwdrev	revfwd	rightleft	946	948	0.00
24	60	evenodd	revfwd	fwdrev	rightleft	59	59	0.00
25	60	insertion	fwdrev	revfwd	rightleft	870	870	0.00
26	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
27	60	swap	fwdrev	revfwd	rightleft	220	223	0.01
28	60	insertion	revfwd	fwdrev	rightleft	870	870	0.00
29	180	quick	fwdrev	revfwd	rightleft	248	239	0.04
30	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
31	60	triple	fwdrev	revfwd	rightleft	59	59	0.00
32	180	dinsertion	revfwd	fwdrev	rightleft	8010	8010	0.00
33	90	random	fwdrev	revfwd	rightleft	1980	1980	0.00
34	90	merge	revfwd	fwdrev	rightleft	45	45	0.00
35	90	insertion	fwdrev	revfwd	rightleft	1980	1980	0.00
36	90	merge	revfwd	fwdrev	rightleft	45	45	0.00
37	180	selection	fwdrev	revfwd	rightleft	8010	8010	0.00
38	180	triple	revfwd	fwdrev	rightleft	179	179	0.00
39	360	dinsertion	fwdrev	revfwd	rightleft	32220	32220	0.00
40	180	dinsertion	reverse	revfwd	single	8010	8010	0.00
41	360	random	revfwd	fwdrev	zipper	32040	32040	0.00
42	360	triple	fwdrev	reverse	zipper	241	241	0.00
43	180	insertion	reverse	revfwd	single	8010	8010	0.00
44	180	swap	revfwd	random	single	893	914	0.02
45	180	triple	random	revfwd	single	99	87	0.13
46	180	merge	revfwd	fwdrev	single	90	90	0.00
47	90	evenodd	fwdrev	revfwd	single	89	89	0.00
48	90	evenodd	revfwd	forward	single	89	89	0.00
49	90	quick	forward	fwdrev	single	181	166	0.09
50	180	insertion	fwdrev	forward	single	8010	8010	0.00
51	360	evenodd	forward	random	single	336	350	0.04
52	360	quick	random	interleave	single	813	868	0.07
53	360	merge	interleave	fwdrev	single	366	371	0.01
54	720	merge	fwdrev	revfwd	zipper	360	360	0.00
55	720	insertion	revfwd	forward	zipper	128880	128880	0.00
56	720	dinsertion	forward	reverse	zipper	257760	257760	0.00
57	720	swap	reverse	forward	zipper	3444	4587	0.28
58	240	swap	forward	reverse	zipper	1161	1198	0.03
59	240	insertion	reverse	fwdrev	zipper	14160	14160	0.00
60	120	merge	fwdrev	forward	zipper	118	118	0.00
61	60	evenodd	forward	revfwd	zipper	59	59	0.00
62	60	evenodd	revfwd	reverse	zipper	58	58	0.00
63	60	insertion	revfwd	fwdrev	rightleft	870	870	0.00
64	60	random	fwdrev	revfwd	rightleft	870	870	0.00
65	60	swap	revfwd	fwdrev	rightleft	221	213	0.04
66	60	swap	fwdrev	revfwd	rightleft	220	226	0.03
67	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
68	60	random	fwdrev	revfwd	rightleft	870	870	0.00
69	30	swap	reverse	revfwd	single	75	68	0.10
70	30	insertion	revfwd	interleave	single	210	211	0.00
71	30	merge	interleave	reverse	single	30	29	0.03
72	30	triple	reverse	random	single	16	15	0.06
73	30	selection	random	interleave	single	216	189	0.13
74	30	insertion	interleave	forward	single	210	210	0.00
75	90	swap	forward	revfwd	single	355	365	0.03
76	30	insertion	revfwd	fwdrev	single	225	225	0.00
77	30	swap	fwdrev	interleave	single	80	74	0.08
78	30	selection	interleave	revfwd	single	210	211	0.00
79	30	selection	revfwd	forward	single	225	225	0.00
80	60	merge	fwdrev	revfwd	rightleft	30	30	0.00
81	180	evenodd	revfwd	fwdrev	rightleft	179	179	0.00
82	90	evenodd	forward	random	single	80	84	0.05
83	90	triple	random	interleave	single	49	45	0.09
84	90	merge	interleave	fwdrev	single	94	96	0.02
85	90	dinsertion	fwdrev	interleave	single	1980	1980	0.00
86	90	swap	interleave	fwdrev	single	376	360	0.04
87	180	swap	fwdrev	reverse	single	862	840	0.03
88	180	evenodd	reverse	interleave	single	179	179	0.00
89	180	quick	interleave	reverse	single	368	346	0.06
90	360	merge	revfwd	fwdrev	rightleft	180	180	0.00
91	360	insertion	fwdrev	revfwd	rightleft	32220	32220	0.00
92	180	random	revfwd	fwdrev	rightleft	8010	8010	0.00
93	180	selection	fwdrev	revfwd	rightleft	8010	8010	0.00
94	180	dinsertion	revfwd	fwdrev	rightleft	8010	8010	0.00
95	90	swap	forward	revfwd	single	355	333	0.06
96	90	triple	revfwd	reverse	single	59	60	0.02
97	180	dinsertion	reverse	forward	single	16110	16110	0.00
98	180	triple	forward	reverse	single	177	179	0.01
99	360	dinsertion	revfwd	fwdrev	rightleft	32220	32220	0.00
100	360	swap	fwdrev	revfwd	rightleft	2259	2214	0.02
101	360	insertion	revfwd	fwdrev	rightleft	32220	32220	0.00
102	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
103	360	triple	revfwd	fwdrev	rightleft	359	359	0.00
104	360	swap	fwdrev	revfwd	rightleft	2259	2282	0.01
105	120	quick	revfwd	fwdrev	rightleft	164	173	0.05
106	120	dinsertion	fwdrev	revfwd	rightleft	3540	3540	0.00
107	40	selection	revfwd	fwdrev	rightleft	380	380	0.00
108	40	random	fwdrev	revfwd	rightleft	380	380	0.00
109	120	merge	revfwd	fwdrev	rightleft	60	60	0.00
110	120	random	fwdrev	revfwd	rightleft	3540	3540	0.00
111	120	insertion	revfwd	fwdrev	rightleft	3540	3540	0.00
112	120	insertion	fwdrev	revfwd	rightleft	3540	3540	0.00
113	120	insertion	revfwd	fwdrev	rightleft	3540	3540	0.00
114	60	swap	forward	reverse	single	243	266	0.09
115	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
116	240	selection	fwdrev	revfwd	rightleft	14280	14280	0.00
117	240	dinsertion	revfwd	fwdrev	rightleft	14280	14280	0.00
118	80	quick	fwdrev	revfwd	rightleft	109	107	0.02
